Date,Close/Last,Volume,Open,High,Low
01/22/2021,13361.50,404023,13394.00,13402.25,13300.25
01/21/2021,13395.50,418687,13288.50,13423.50,13315.75
01/20/2021,13294.25,431065,13030.00,13327.00,13242.00
01/19/2021,12985.50,478030,12774.25,13032.75,12727.00
01/15/2021,12802.25,532713,12909.00,12931.25,12743.50
01/14/2021,12901.00,413126,12975.50,12966.00,12881.00
01/13/2021,12972.25,411300,12882.50,13003.00,12957.75
01/12/2021,12890.25,457353,12910.75,12912.00,12767.25
01/11/2021,12897.00,448189,13093.25,13085.25,12871.75
01/08/2021,13097.25,503019,12927.00,13125.00,12919.00
01/07/2021,12928.00,431154,12658.50,12959.00,12646.50
01/06/2021,12616.75,744102,12800.25,12844.25,12491.25
01/05/2021,12793.50,479214,12682.75,12809.00,12612.00
01/04/2021,12685.50,644564,12889.00,12959.75,12522.50
12/31/2020,12885.50,277076,12840.00,12896.00,12796.50
12/30/2020,12841.50,331658,12860.75,12909.75,12820.50
12/29/2020,12841.00,391072,12845.25,12918.25,12808.25
12/28/2020,12832.75,341802,12676.25,12855.50,12655.25
12/24/2020,12704.50,171576,12660.75,12724.00,12631.50
12/23/2020,12651.25,354541,12704.75,12738.75,12623.50
12/22/2020,12710.00,454633,12698.25,12760.00,12593.50
12/21/2020,12683.50,596035,12760.00,12782.50,12461.00
12/18/2020,12712.50,455587,12747.50,12789.75,12610.00
12/17/2020,12751.00,387759,12681.25,12766.75,12672.00
12/16/2020,12665.25,149534,12599.50,12699.75,12567.75
12/15/2020,12591.75,220671,12460.50,12604.75,12417.00
12/14/2020,12456.50,289617,12405.50,12545.00,12445.00
12/11/2020,12368.00,357201,12391.00,12379.75,12330.00
12/10/2020,12402.00,527015,12342.75,12449.00,12218.25
12/09/2020,12367.00,621556,12657.25,12675.00,12306.75
12/08/2020,12637.50,359918,12574.00,12652.50,12502.00
12/07/2020,12596.00,320894,12598.25,12602.75,12547.00
12/04/2020,12526.00,316807,12487.00,12535.75,12448.50
12/03/2020,12462.25,371769,12472.00,12540.25,12444.00
12/02/2020,12454.25,398600,12456.25,12473.50,12312.50
12/01/2020,12452.25,460966,12336.00,12512.25,12312.00
11/30/2020,12277.00,490080,12286.50,12337.25,12086.00
11/27/2020,12257.50,292745,12168.25,12307.50,12127.00
11/25/2020,12152.25,383052,12098.50,12177.75,12077.50
11/24/2020,12076.00,396613,11909.75,12104.50,12034.25
11/23/2020,11905.25,423009,11894.00,11922.75,11887.00
11/20/2020,11905.75,355611,11960.00,11998.75,11873.50
11/19/2020,11987.25,419169,11876.00,12000.00,11804.50
11/18/2020,11897.00,469311,11972.00,12027.50,11861.50
11/17/2020,11975.00,396337,12061.25,12096.25,11953.75
11/16/2020,12005.00,468184,11957.25,12065.00,11851.75
11/13/2020,11933.50,443231,11857.00,11952.75,11801.75
11/12/2020,11820.00,551079,11898.50,11975.75,11775.75
11/11/2020,11886.00,538373,11632.25,11917.75,11575.25
11/10/2020,11618.25,819551,11863.50,11662.25,11585.00
11/09/2020,11820.50,712791,12139.25,12408.75,11812.25
11/06/2020,12075.00,546961,12088.50,12109.00,11868.25
11/05/2020,12076.50,569288,11830.00,12109.75,12020.00
11/04/2020,11763.00,822280,11764.25,11843.75,11727.50
11/03/2020,11265.75,504271,11074.75,11327.50,11213.75
11/02/2020,11063.25,599088,11034.50,11212.00,10942.25
10/30/2020,11046.25,792955,11213.25,11281.25,10944.50
10/29/2020,11342.75,601017,11180.50,11457.75,11145.00
10/28/2020,11132.75,742417,11558.50,11274.00,11123.75
10/27/2020,11588.00,548923,11499.50,11623.00,11478.25
10/26/2020,11492.25,668747,11634.00,11695.50,11343.25
10/23/2020,11663.50,496279,11669.25,11691.75,11551.00
10/22/2020,11649.75,578568,11683.50,11685.00,11545.00
10/21/2020,11691.25,598876,11675.25,11779.25,11585.00
10/20/2020,11660.75,620371,11697.50,11708.50,11621.75
10/19/2020,11650.25,618824,11816.75,11950.50,11591.25
10/16/2020,11798.00,520420,11891.00,12022.00,11792.00
10/15/2020,11874.00,588167,11950.00,11983.25,11736.50
10/14/2020,11974.25,591799,12079.75,12178.00,11901.75
10/13/2020,12094.00,732529,12100.00,12249.00,12019.00
10/12/2020,12098.25,716868,11722.75,12197.00,11687.75
10/09/2020,11724.75,401755,11562.00,11739.00,11552.50
10/08/2020,11539.00,401507,11473.25,11578.75,11469.75
10/07/2020,11470.00,438833,11220.50,11506.50,11208.00
10/06/2020,11322.25,452740,11473.00,11524.50,11286.25
10/05/2020,11469.25,391100,11308.50,11497.50,11267.50
10/02/2020,11233.25,782939,11566.75,11604.75,11204.50
10/01/2020,11574.75,559319,11375.00,11599.25,11375.00
09/30/2020,11407.25,636328,11321.00,11526.00,11167.00
09/29/2020,11337.75,437749,11388.00,11448.75,11289.50
09/28/2020,11394.75,543146,11145.00,11404.00,11140.25
09/25/2020,11136.50,582801,10914.25,11166.25,10813.75
09/24/2020,10891.75,776556,10803.50,11011.75,10660.25
09/23/2020,10829.00,651590,11160.50,11222.00,10786.00
